hero,fraction,class,school,table,p_per_roll
dungeon_hero_1,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_1,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_10,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_10,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_10,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_10,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_11,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_11,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_11,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_11,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_12,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_12,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_12,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_12,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_13,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_13,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_13,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_13,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_14,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_14,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_14,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_14,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_15,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_15,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_15,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_15,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_16,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_16,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_16,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_16,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_17,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_17,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_17,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_17,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_18,dungeon,magic,day,dungeon_magic_skills_table,0.02083
dungeon_hero_18,dungeon,magic,night,dungeon_magic_skills_table,0.02083
dungeon_hero_18,dungeon,magic,space,dungeon_magic_skills_table,0.02083
dungeon_hero_18,dungeon,magic,primal,dungeon_magic_skills_table,0.02083
dungeon_hero_2,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_2,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_2,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_2,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_3,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_3,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_3,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_3,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_4,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_4,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_4,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_4,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_5,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_5,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_5,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_5,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_6,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_6,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_6,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_6,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_7,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_7,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_7,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_7,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_8,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_8,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_8,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_8,dungeon,might,primal,dungeon_might_skills_table,0.02083
dungeon_hero_9,dungeon,might,day,dungeon_might_skills_table,0.02083
dungeon_hero_9,dungeon,might,night,dungeon_might_skills_table,0.02083
dungeon_hero_9,dungeon,might,space,dungeon_might_skills_table,0.02083
dungeon_hero_9,dungeon,might,primal,dungeon_might_skills_table,0.02083
human_hero_1,human,might,day,humans_might_skills_table,0.03404
human_hero_1,human,might,night,humans_might_skills_table,0.00851
human_hero_1,human,might,space,humans_might_skills_table,0.02553
human_hero_1,human,might,primal,humans_might_skills_table,0.01702
human_hero_10,human,magic,day,humans_magic_skills_table,0.03404
human_hero_10,human,magic,night,humans_magic_skills_table,0.00851
human_hero_10,human,magic,space,humans_magic_skills_table,0.02553
human_hero_10,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_11,human,magic,day,humans_magic_skills_table,0.03404
human_hero_11,human,magic,night,humans_magic_skills_table,0.00851
human_hero_11,human,magic,space,humans_magic_skills_table,0.02553
human_hero_11,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_12,human,magic,day,humans_magic_skills_table,0.03404
human_hero_12,human,magic,night,humans_magic_skills_table,0.00851
human_hero_12,human,magic,space,humans_magic_skills_table,0.02553
human_hero_12,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_13,human,magic,day,humans_magic_skills_table,0.03404
human_hero_13,human,magic,night,humans_magic_skills_table,0.00851
human_hero_13,human,magic,space,humans_magic_skills_table,0.02553
human_hero_13,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_14,human,magic,day,humans_magic_skills_table,0.03404
human_hero_14,human,magic,night,humans_magic_skills_table,0.00851
human_hero_14,human,magic,space,humans_magic_skills_table,0.02553
human_hero_14,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_15,human,magic,day,humans_magic_skills_table,0.03404
human_hero_15,human,magic,night,humans_magic_skills_table,0.00851
human_hero_15,human,magic,space,humans_magic_skills_table,0.02553
human_hero_15,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_16,human,magic,day,humans_magic_skills_table,0.03404
human_hero_16,human,magic,night,humans_magic_skills_table,0.00851
human_hero_16,human,magic,space,humans_magic_skills_table,0.02553
human_hero_16,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_17,human,magic,day,humans_magic_skills_table,0.03404
human_hero_17,human,magic,night,humans_magic_skills_table,0.00851
human_hero_17,human,magic,space,humans_magic_skills_table,0.02553
human_hero_17,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_18,human,magic,day,humans_magic_skills_table,0.03404
human_hero_18,human,magic,night,humans_magic_skills_table,0.00851
human_hero_18,human,magic,space,humans_magic_skills_table,0.02553
human_hero_18,human,magic,primal,humans_magic_skills_table,0.01702
human_hero_2,human,might,day,humans_might_skills_table,0.03404
human_hero_2,human,might,night,humans_might_skills_table,0.00851
human_hero_2,human,might,space,humans_might_skills_table,0.02553
human_hero_2,human,might,primal,humans_might_skills_table,0.01702
human_hero_3,human,might,day,humans_might_skills_table,0.03404
human_hero_3,human,might,night,humans_might_skills_table,0.00851
human_hero_3,human,might,space,humans_might_skills_table,0.02553
human_hero_3,human,might,primal,humans_might_skills_table,0.01702
human_hero_4,human,might,day,humans_might_skills_table,0.03404
human_hero_4,human,might,night,humans_might_skills_table,0.00851
human_hero_4,human,might,space,humans_might_skills_table,0.02553
human_hero_4,human,might,primal,humans_might_skills_table,0.01702
human_hero_5,human,might,day,humans_might_skills_table,0.03404
human_hero_5,human,might,night,humans_might_skills_table,0.00851
human_hero_5,human,might,space,humans_might_skills_table,0.02553
human_hero_5,human,might,primal,humans_might_skills_table,0.01702
human_hero_6,human,might,day,humans_might_skills_table,0.03404
human_hero_6,human,might,night,humans_might_skills_table,0.00851
human_hero_6,human,might,space,humans_might_skills_table,0.02553
human_hero_6,human,might,primal,humans_might_skills_table,0.01702
human_hero_7,human,might,day,humans_might_skills_table,0.03404
human_hero_7,human,might,night,humans_might_skills_table,0.00851
human_hero_7,human,might,space,humans_might_skills_table,0.02553
human_hero_7,human,might,primal,humans_might_skills_table,0.01702
human_hero_8,human,might,day,humans_might_skills_table,0.03404
human_hero_8,human,might,night,humans_might_skills_table,0.00851
human_hero_8,human,might,space,humans_might_skills_table,0.02553
human_hero_8,human,might,primal,humans_might_skills_table,0.01702
human_hero_9,human,might,day,humans_might_skills_table,0.03404
human_hero_9,human,might,night,humans_might_skills_table,0.00851
human_hero_9,human,might,space,humans_might_skills_table,0.02553
human_hero_9,human,might,primal,humans_might_skills_table,0.01702
nature_hero_1,nature,might,day,nature_might_skills_table,0.01702
nature_hero_1,nature,might,night,nature_might_skills_table,0.00851
nature_hero_1,nature,might,space,nature_might_skills_table,0.02553
nature_hero_1,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_10,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_10,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_10,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_10,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_11,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_11,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_11,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_11,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_12,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_12,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_12,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_12,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_13,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_13,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_13,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_13,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_14,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_14,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_14,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_14,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_15,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_15,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_15,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_15,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_16,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_16,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_16,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_16,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_17,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_17,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_17,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_17,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_18,nature,magic,day,nature_magic_skills_table,0.01702
nature_hero_18,nature,magic,night,nature_magic_skills_table,0.00851
nature_hero_18,nature,magic,space,nature_magic_skills_table,0.02553
nature_hero_18,nature,magic,primal,nature_magic_skills_table,0.03404
nature_hero_2,nature,might,day,nature_might_skills_table,0.01702
nature_hero_2,nature,might,night,nature_might_skills_table,0.00851
nature_hero_2,nature,might,space,nature_might_skills_table,0.02553
nature_hero_2,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_3,nature,might,day,nature_might_skills_table,0.01702
nature_hero_3,nature,might,night,nature_might_skills_table,0.00851
nature_hero_3,nature,might,space,nature_might_skills_table,0.02553
nature_hero_3,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_4,nature,might,day,nature_might_skills_table,0.01702
nature_hero_4,nature,might,night,nature_might_skills_table,0.00851
nature_hero_4,nature,might,space,nature_might_skills_table,0.02553
nature_hero_4,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_5,nature,might,day,nature_might_skills_table,0.01702
nature_hero_5,nature,might,night,nature_might_skills_table,0.00851
nature_hero_5,nature,might,space,nature_might_skills_table,0.02553
nature_hero_5,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_6,nature,might,day,nature_might_skills_table,0.01702
nature_hero_6,nature,might,night,nature_might_skills_table,0.00851
nature_hero_6,nature,might,space,nature_might_skills_table,0.02553
nature_hero_6,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_7,nature,might,day,nature_might_skills_table,0.01702
nature_hero_7,nature,might,night,nature_might_skills_table,0.00851
nature_hero_7,nature,might,space,nature_might_skills_table,0.02553
nature_hero_7,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_8,nature,might,day,nature_might_skills_table,0.01702
nature_hero_8,nature,might,night,nature_might_skills_table,0.00851
nature_hero_8,nature,might,space,nature_might_skills_table,0.02553
nature_hero_8,nature,might,primal,nature_might_skills_table,0.03404
nature_hero_9,nature,might,day,nature_might_skills_table,0.01702
nature_hero_9,nature,might,night,nature_might_skills_table,0.00851
nature_hero_9,nature,might,space,nature_might_skills_table,0.02553
nature_hero_9,nature,might,primal,nature_might_skills_table,0.03404
necro_hero_1,undead,might,day,necros_might_skills_table,0.0087
necro_hero_1,undead,might,night,necros_might_skills_table,0.03478
necro_hero_1,undead,might,space,necros_might_skills_table,0.02609
necro_hero_1,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_10,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_10,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_10,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_10,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_11,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_11,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_11,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_11,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_12,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_12,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_12,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_12,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_13,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_13,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_13,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_13,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_14,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_14,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_14,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_14,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_15,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_15,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_15,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_15,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_16,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_16,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_16,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_16,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_17,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_17,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_17,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_17,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_18,undead,magic,day,necros_magic_skills_table,0.0087
necro_hero_18,undead,magic,night,necros_magic_skills_table,0.03478
necro_hero_18,undead,magic,space,necros_magic_skills_table,0.02609
necro_hero_18,undead,magic,primal,necros_magic_skills_table,0.01739
necro_hero_2,undead,might,day,necros_might_skills_table,0.0087
necro_hero_2,undead,might,night,necros_might_skills_table,0.03478
necro_hero_2,undead,might,space,necros_might_skills_table,0.02609
necro_hero_2,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_3,undead,might,day,necros_might_skills_table,0.0087
necro_hero_3,undead,might,night,necros_might_skills_table,0.03478
necro_hero_3,undead,might,space,necros_might_skills_table,0.02609
necro_hero_3,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_4,undead,might,day,necros_might_skills_table,0.0087
necro_hero_4,undead,might,night,necros_might_skills_table,0.03478
necro_hero_4,undead,might,space,necros_might_skills_table,0.02609
necro_hero_4,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_5,undead,might,day,necros_might_skills_table,0.0087
necro_hero_5,undead,might,night,necros_might_skills_table,0.03478
necro_hero_5,undead,might,space,necros_might_skills_table,0.02609
necro_hero_5,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_6,undead,might,day,necros_might_skills_table,0.0087
necro_hero_6,undead,might,night,necros_might_skills_table,0.03478
necro_hero_6,undead,might,space,necros_might_skills_table,0.02609
necro_hero_6,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_7,undead,might,day,necros_might_skills_table,0.0087
necro_hero_7,undead,might,night,necros_might_skills_table,0.03478
necro_hero_7,undead,might,space,necros_might_skills_table,0.02609
necro_hero_7,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_8,undead,might,day,necros_might_skills_table,0.0087
necro_hero_8,undead,might,night,necros_might_skills_table,0.03478
necro_hero_8,undead,might,space,necros_might_skills_table,0.02609
necro_hero_8,undead,might,primal,necros_might_skills_table,0.01739
necro_hero_9,undead,might,day,necros_might_skills_table,0.0087
necro_hero_9,undead,might,night,necros_might_skills_table,0.03478
necro_hero_9,undead,might,space,necros_might_skills_table,0.02609
necro_hero_9,undead,might,primal,necros_might_skills_table,0.01739
unfrozen_hero_1,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_1,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_1,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_1,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_10,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_10,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_10,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_10,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_11,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_11,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_11,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_11,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_12,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_12,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_12,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_12,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_13,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_13,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_13,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_13,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_14,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_14,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_14,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_14,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_15,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_15,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_15,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_15,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_16,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_16,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_16,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_16,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_17,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_17,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_17,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_17,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_18,unfrozen,magic,day,unfrozen_magic_skills_table,0.01702
unfrozen_hero_18,unfrozen,magic,night,unfrozen_magic_skills_table,0.02553
unfrozen_hero_18,unfrozen,magic,space,unfrozen_magic_skills_table,0.03404
unfrozen_hero_18,unfrozen,magic,primal,unfrozen_magic_skills_table,0.00851
unfrozen_hero_2,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_2,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_2,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_2,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_3,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_3,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_3,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_3,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_4,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_4,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_4,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_4,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_5,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_5,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_5,unfrozen,might,space,unfrozen_might_skills_table,0.03404
unfrozen_hero_5,unfrozen,might,primal,unfrozen_might_skills_table,0.00851
unfrozen_hero_6,unfrozen,might,day,unfrozen_might_skills_table,0.01702
unfrozen_hero_6,unfrozen,might,night,unfrozen_might_skills_table,0.02553
unfrozen_hero_6,unfrozen,might,space,unfrozen_might_skills_table,0.03404
