faction,classType,className,heroId,heroName,specializationSid,specializationName,startingSkills,subclassA,subclassA_required,subclassA_starting_matches,subclassB,subclassB_required,subclassB_starting_matches
human,magic,Cleric,human_hero_11,Pip,human_hero_11_specialization,Wish to Learn,Righteousness (L1); Insight (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,Insight,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
human,magic,Cleric,human_hero_12,Zenith,human_hero_12_specialization,Weaving the Light,Righteousness (L1); Wisdom (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
human,magic,Cleric,human_hero_13,Lia the Untethered One,human_hero_13_specialization,Radiating Knowledge,Righteousness (L1); Daylight Magic (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
human,magic,Cleric,human_hero_14,Julius,human_hero_14_specialization,Compassionate Healer,Righteousness (L1); Resistance (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,Resistance
human,magic,Cleric,human_hero_15,Vesper,human_hero_15_specialization,Blessing,Righteousness (L1); Daylight Magic (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
human,magic,Cleric,human_hero_16,Anastasia the Meek,human_hero_16_specialization,Hymn to Arina,Righteousness (L1); Thaumaturgy (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
human,magic,Cleric,human_hero_17,Nadir,human_hero_17_specialization,Heart of Hearts,Righteousness (L1); Nightshade Magic (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,
human,magic,Cleric,human_hero_18,Clarissa,human_hero_18_specialization,Wealthy,Righteousness (L1); Economy (L1),Grand Inquisitor,Defense; Battle Magic; Arcane Magic; Insight; Scouting,,Ascendant,Resistance; Sorcery; Primal Magic; Logistics; Economy,Economy
undead,might,Death Knight,necro_hero_1,Bulwark,necro_hero_1_specialization,Built Different,Necromancy (L1); Defense (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,Defense,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,
undead,might,Death Knight,necro_hero_2,King‑of‑Kings,necro_hero_2_specialization,Charismatic,Necromancy (L1); Diplomacy (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,Diplomacy
undead,might,Death Knight,necro_hero_3,Onkos,necro_hero_3_specialization,Perfect Puppets,Necromancy (L1); Offense (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,
undead,might,Death Knight,necro_hero_4,Kel’Ghul,necro_hero_4_specialization,Dreadful War,Necromancy (L1); Tactics (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,Tactics
undead,might,Death Knight,necro_hero_5,Natalida,necro_hero_5_specialization,Part of a Pack,Necromancy (L1); Scouting (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,Scouting,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,
undead,might,Death Knight,necro_hero_6,Artorius Veritas,necro_hero_6_specialization,Drive ’em Crazy,Necromancy (L1); Resistance (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,Resistance
undead,might,Death Knight,necro_hero_7,Marl,necro_hero_7_specialization,Languid Soil,Necromancy (L1); Logistics (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,
undead,might,Death Knight,necro_hero_8,Tarius,necro_hero_8_specialization,Undead Legion,Necromancy (L2),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,
undead,might,Death Knight,necro_hero_9,Zam,necro_hero_9_specialization,Alchemist,Necromancy (L1); Battlecraft (L1),Harbinger of Doom,Defense; Sorcery; Primal Magic; Luck; Scouting,,Walking Rot,Resistance; Wisdom; Nightshade Magic; Diplomacy; Tactics,
undead,magic,Necromancer,necro_hero_10,Mag,necro_hero_10_specialization,Arcane Dominion,Necromancy (L1); Arcane Magic (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,Arcane Magic,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_11,Adahn,necro_hero_11_specialization,Amnesiac,Necromancy (L1); Recruitment (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_12,Ethric,necro_hero_12_specialization,Tomb‑bound Will,Necromancy (L1); Wisdom (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_13,Guildmaster Klastor,necro_hero_13_specialization,Bones Guild,Necromancy (L1); Luck (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_14,Shadespinner Oona,necro_hero_14_specialization,Shadowmastery,Necromancy (L1); Nightshade Magic (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_15,Laura,necro_hero_15_specialization,Moldering,Necromancy (L1); Sorcery (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_16,Lord Rufus,necro_hero_16_specialization,Wistful Nostalgia,Necromancy (L1); Thaumaturgy (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_17,Funerella,necro_hero_17_specialization,Undead Legion,Necromancy (L2),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,
undead,magic,Necromancer,necro_hero_18,Milossa the Golden,necro_hero_18_specialization,Wealthy,Necromancy (L1); Battle Magic (L1),Soulweaver,Battlecraft; Summon Avatar; Arcane Magic; Insight; Logistics,,Chronomancer,Offense; Battle Magic; Daylight Magic; Economy; Tactics,Battle Magic
nature,might,Warden,nature_hero_1,Eith,nature_hero_1_specialization,Pathfinder,Murmuring (L1); Scouting (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,
nature,might,Warden,nature_hero_2,Gorel Spearhead,nature_hero_2_specialization,Shooter,Murmuring (L1); Offense (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,Offense
nature,might,Warden,nature_hero_3,Gingertail,nature_hero_3_specialization,Faunsong,Murmuring (L1); Battlecraft (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,
nature,might,Warden,nature_hero_4,Old Pilgrim,nature_hero_4_specialization,Natural Selection,Murmuring (L1); Battle Magic (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,Battle Magic,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,
nature,might,Warden,nature_hero_5,Octavia,nature_hero_5_specialization,Four‑Leaf Horseshoe,Murmuring (L1); Luck (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,Luck
nature,might,Warden,nature_hero_6,Mreowa,nature_hero_6_specialization,Charming Shine,Murmuring (L1); Sorcery (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,
nature,might,Warden,nature_hero_7,Faleor,nature_hero_7_specialization,Hksmilla’s Step,Murmuring (L2),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,
nature,might,Warden,nature_hero_8,Alluring Sh’a,nature_hero_8_specialization,Charismatic,Murmuring (L1); Diplomacy (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,Diplomacy
nature,might,Warden,nature_hero_9,Aunt Daliar,nature_hero_9_specialization,Wish to Learn,Murmuring (L1); Insight (L1),Wellspring of Vigor,Resistance; Battle Magic; Daylight Magic; Leadership; Insight,Insight,Fortune’s Favored,Offense; Wisdom; Primal Magic; Luck; Diplomacy,
nature,magic,Druid,nature_hero_10,Vatawna,nature_hero_10_specialization,Spiritual Vigor,Murmuring (L1); Wisdom (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_11,Elder Tss’kish,nature_hero_11_specialization,Oldest Known Tree,Murmuring (L1); Thaumaturgy (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_12,Aeliniel,nature_hero_12_specialization,Tempered Embers,Murmuring (L1); Primal Magic (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_13,Glacia,nature_hero_13_specialization,Ice Bolt,Murmuring (L1); Primal Magic (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_14,Vim,nature_hero_14_specialization,Rock It up!,Murmuring (L1); Primal Magic (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_15,Halon,nature_hero_15_specialization,Thunder and Lightning,Murmuring (L1); Primal Magic (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_16,Echolily,nature_hero_16_specialization,Murmuring Copy,Murmuring (L1); Arcane Magic (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,Arcane Magic,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_17,Sullie,nature_hero_17_specialization,Murmurwood Native,Murmuring (L1); Summon Avatar (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,Summon Avatar,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,
nature,magic,Druid,nature_hero_18,The Minstrel,nature_hero_18_specialization,Wandering Musician,Murmuring (L1); Sorcery (L1),Celestial Envoy,Defense; Summon Avatar; Arcane Magic; Scouting; Economy,,Heaven’s Fury,Battlecraft; Sorcery; Nightshade Magic; Logistics; Tactics,Sorcery
demon,might,Enforcer,demon_hero_1,Niev,demon_hero_1_specialization,Shooter,Summon Swarm (L1); Offense (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_2,Maelstrom,demon_hero_2_specialization,Reave Away,Summon Swarm (L1); Insight (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,Insight
demon,might,Enforcer,demon_hero_3,Nor,demon_hero_3_specialization,Wish to Learn,Summon Swarm (L1); Battlecraft (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,Battlecraft,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_4,"Zoran, the Self‑Founded",demon_hero_4_specialization,Waurmification,Summon Swarm (L1); Nightshade Magic (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,Nightshade Magic,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_5,"Curson, Duke of Rage",demon_hero_5_specialization,Intimidating Strike,Summon Swarm (L1); Combat (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_6,Tavi,demon_hero_6_specialization,Proliferation,Summon Swarm (L2),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_7,Lo,demon_hero_7_specialization,Scavenger,Summon Swarm (L1); Defense (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_8,Goldentongue,demon_hero_8_specialization,Rousing Presence,Summon Swarm (L1); Leadership (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,Leadership,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,might,Enforcer,demon_hero_9,"Abigor, Duke of Battle",demon_hero_9_specialization,Chessmaster,Summon Swarm (L1); Tactics (L1),Broodmother,Battlecraft; Wisdom; Nightshade Magic; Leadership; Economy,,Soul Eater,Resistance; Battle Magic; Daylight Magic; Insight; Logistics,
demon,magic,Herald,demon_hero_10,Fleu,demon_hero_10_specialization,Wayfarer,Summon Swarm (L1); Logistics (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_11,Xirr,demon_hero_11_specialization,Resistant to Elements,Summon Swarm (L1); Resistance (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_12,"Bathym, Duke of Jewels",demon_hero_12_specialization,Charming Shine,Summon Swarm (L1); Economy (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_13,Leira,demon_hero_13_specialization,Stinging,Summon Swarm (L1); Battle Magic (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_14,Groo,demon_hero_14_specialization,Son of All Mothers,Summon Swarm (L1); Wisdom (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_15,Mila,demon_hero_15_specialization,Wingflap,Summon Swarm (L1); Daylight Magic (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_16,Oriax,demon_hero_16_specialization,Here and There,Summon Swarm (L1); Summon Avatar (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,Summon Avatar,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
demon,magic,Herald,demon_hero_17,Khariseth,demon_hero_17_specialization,Primal Weaving,Summon Swarm (L1); Primal Magic (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,Primal Magic
demon,magic,Herald,demon_hero_18,Pauper,demon_hero_18_specialization,Flea Bites,Summon Swarm (L1); Battle Magic (L1),Progenitor,Defense; Summon Avatar; Arcane Magic; Diplomacy; Tactics,,Lord of Chaos,Offense; Sorcery; Primal Magic; Luck; Scouting,
unfrozen,might,Oathkeeper,unfrozen_hero_1,Nihil,unfrozen_hero_1_specialization,Wayfarer,Abyssal Communion (L1); Logistics (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,might,Oathkeeper,unfrozen_hero_2,Blackhorn,unfrozen_hero_2_specialization,Spellweaver,Abyssal Communion (L1); Sorcery (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,Sorcery,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,might,Oathkeeper,unfrozen_hero_3,Matastala the White,unfrozen_hero_3_specialization,Chessmaster,Abyssal Communion (L1); Tactics (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,might,Oathkeeper,unfrozen_hero_4,Jänhei,unfrozen_hero_4_specialization,Roguish,Abyssal Communion (L1); Wisdom (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,Wisdom
unfrozen,might,Oathkeeper,unfrozen_hero_5,Mara Mat’ha,unfrozen_hero_5_specialization,Coldblood Siblings,Abyssal Communion (L2),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,might,Oathkeeper,unfrozen_hero_6,The Iron Master,unfrozen_hero_6_specialization,Leash of Chains,Abyssal Communion (L1); Resistance (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,Resistance
unfrozen,might,Oathkeeper,unfrozen_hero_7,Wal’kha,unfrozen_hero_7_specialization,Primal Weaving,Abyssal Communion (L1); Primal Magic (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,might,Oathkeeper,unfrozen_hero_8,Changeling Urgo,unfrozen_hero_8_specialization,Everchanging Essence,Abyssal Communion (L1); Summon Avatar (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,might,Oathkeeper,unfrozen_hero_9,Martyr Tho,unfrozen_hero_9_specialization,Alchemist,Abyssal Communion (L1); Daylight Magic (L1),Unbound,Offense; Sorcery; Daylight Magic; Leadership; Scouting,Daylight Magic,Unfeeling,Resistance; Wisdom; Nightshade Magic; Diplomacy; Economy,
unfrozen,magic,Riftspeaker,unfrozen_hero_10,Grellekh the Betrayer,unfrozen_hero_10_specialization,Fighter,Abyssal Communion (L1); Offense (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,
unfrozen,magic,Riftspeaker,unfrozen_hero_11,Icequeen Hel’Ghat,unfrozen_hero_11_specialization,Heart of Ice,Abyssal Communion (L1); Defense (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,Defense
unfrozen,magic,Riftspeaker,unfrozen_hero_12,Kwinri,unfrozen_hero_12_specialization,Low Summoning,Abyssal Communion (L1); Recruitment (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,
unfrozen,magic,Riftspeaker,unfrozen_hero_13,The Eye Collective,unfrozen_hero_13_specialization,Rift’s Envoy,Abyssal Communion (L1); Summon Avatar (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,Summon Avatar
unfrozen,magic,Riftspeaker,unfrozen_hero_14,Tölketh,unfrozen_hero_14_specialization,Stellar Dilation,Abyssal Communion (L1); Logistics (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,Logistics
unfrozen,magic,Riftspeaker,unfrozen_hero_15,Ulkuth,unfrozen_hero_15_specialization,Pathfinder,Abyssal Communion (L1); Scouting (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,
unfrozen,magic,Riftspeaker,unfrozen_hero_16,Ra’Davok,unfrozen_hero_16_specialization,Magic Fortress,Abyssal Communion (L1); Arcane Magic (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,Arcane Magic
unfrozen,magic,Riftspeaker,unfrozen_hero_17,Sister Keiri,unfrozen_hero_17_specialization,Mask of the Moon,Abyssal Communion (L1); Nightshade Magic (L1),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,
unfrozen,magic,Riftspeaker,unfrozen_hero_18,Dhüvri,unfrozen_hero_18_specialization,True Believer,Abyssal Communion (L2),Unstoppable,Battlecraft; Battle Magic; Primal Magic; Insight; Tactics,,Unfathomable,Defense; Summon Avatar; Arcane Magic; Luck; Logistics,
dungeon,might,Overlord,dungeon_hero_1,Enatee,dungeon_hero_1_specialization,Slithering Menace,Triumvirate’s Strength (L1); Defense (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,Defense
dungeon,might,Overlord,dungeon_hero_2,Tellaris the Betrayed,dungeon_hero_2_specialization,With One Eye Open,Triumvirate’s Strength (L1); Battlecraft (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,
dungeon,might,Overlord,dungeon_hero_3,Stinger,dungeon_hero_3_specialization,Venomous Strike,Triumvirate’s Strength (L1); Combat (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,
dungeon,might,Overlord,dungeon_hero_4,Kieran,dungeon_hero_4_specialization,The Blind Folk,Triumvirate’s Strength (L1); Tactics (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,
dungeon,might,Overlord,dungeon_hero_5,Mouaren,dungeon_hero_5_specialization,Spy,Triumvirate’s Strength (L1); Scouting (L1),Balthazar’s Bodyguard,Offense; Wisdom; Nightshade Magic; Leadership; Diplomacy,,Silvertongue’s Envoy,Defense; Sorcery; Daylight Magic; Luck; Scouting,Scouting
