score,fraction,class,id,specialization,army_value,army_z,spec_bonus_count,spec_z,skill_high_share,skill_z,skill_total_weight,table,cost,start_level,army_pieces
2.128,undead,might,tutorial_hero_c1_14,necro_hero_8_specialization,91827.0,2.165,7,-0.542,0.8261,0.505,2300,necros_might_skills_table,2500.0,20,"skeleton_upg_alt×470, flicker_upg_alt×175, pet_upg×103, graverobber_upg_alt×53, lich×51"
2.125,nature,might,nature_hero_3,nature_hero_3_specialization,2268.0,-0.261,14,1.622,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×9, elf_tracker×9, elf_tracker×9"
1.865,demon,might,demon_hero_5,demon_hero_5_specialization,3864.5,-0.588,16,1.522,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, locust×12, wasp×6"
1.82,unfrozen,might,unfrozen_hero_8,unfrozen_hero_8_specialization,3928.0,0.165,16,1.18,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, unfrozen_cultist×10, frostworm_rider×7"
1.793,human,might,tutorial_hero_c1_6,tutorial_human_hero_12_specialization,326.0,-0.539,18,1.952,0.8298,0.38,2350,humans_might_skills_table,2500.0,10,griffin_upg_alt×1
1.528,unfrozen,might,unfrozen_hero_7,unfrozen_hero_7_specialization,3928.0,0.165,15,0.889,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, unfrozen_cultist×10, frostworm_rider×7"
1.515,unfrozen,magic,campaign_hero_5,campaign_hero_5_specialization,1518.0,-1.399,16,1.18,0.8824,1.733,1700,campaign_hero_5_skills_table,2500.0,12,unfrozen_cultist×11
1.425,human,might,campaign_M4_hero_temple_3,human_hero_9_specialization,3632.0,-0.412,16,1.456,0.8298,0.38,2350,humans_might_skills_table,2500.0,8,"sunlight_cavalry×2, sunlight_cavalry×1, sunlight_cavalry×1"
1.425,human,might,human_hero_9,human_hero_9_specialization,3629.0,-0.412,16,1.456,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, crossbowman×12, griffin×6"
1.361,demon,might,campaign_M10_hero_demon_generic_3,demon_hero_6_specialization,2413465.0,1.787,6,-1.357,0.8298,0.931,2350,demons_might_skills_table,2500.0,15,"trick_demon_upg_alt×1000, locust_upg_alt×750, wasp_upg_alt×600, jaw_upg_alt×500, godslayer_upg_alt×450, olgoi_upg_alt×300, hive_queen_upg_alt×99"
1.289,demon,might,demon_hero_2,demon_hero_2_specialization,3395.0,-0.588,14,0.946,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, godslayer×2"
1.288,demon,might,demon_hero_4,demon_hero_4_specialization,2808.0,-0.589,14,0.946,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,olgoi×2
1.288,demon,might,demon_hero_7,demon_hero_7_specialization,2916.0,-0.589,14,0.946,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"locust×9, locust×9, locust×9"
1.287,dungeon,might,dungeon_hero_1,dungeon_hero_1_specialization,2912.5,-0.059,14,0.551,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, medusa×4"
1.226,human,magic,campaign_M9_hero_temple_5,human_hero_5_specialization,35000.0,0.794,8,-0.527,0.8542,0.959,2400,campaign_hero_skills_table,2500.0,15,sentinel×5
1.202,human,might,campaign_hero_3,campaign_hero_3_specialization,2068.0,-0.472,10,-0.031,0.8857,1.705,1750,campaign_hero_3_skills_table,2500.0,8,"esquire×20, crossbowman×8"
1.171,undead,magic,cm_fun_hero_1,necro_hero_17_specialization,18115.0,-0.053,7,-0.542,0.8689,1.767,1525,cm_fun_hero_1_skills_table,2500.0,1,"skeleton×180, pet×42, graverobber_upg_alt×21, lich_upg_alt×1"
1.152,demon,might,campaign_M10_hero_demon_3,demon_hero_9_specialization_alt,157150.0,-0.437,13,0.658,0.8298,0.931,2350,demons_might_skills_table,2500.0,25,"wasp_upg_alt×30, jaw_upg_alt×40, hive_queen_upg_alt×5, olgoi_upg×16, hive_queen_upg×5, jaw_upg×40, olgoi_upg_alt×8"
1.112,undead,magic,campaign_M5_hero_undead_2,necro_hero_16_specialization,54724.0,1.049,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,18,"lich_upg×12, graverobber_upg_alt×22, pet_upg×32, avatar_of_war_upg×8, lich_upg_alt×12, avatar_of_war_upg_alt×8, pet_upg_alt×32"
1.112,undead,magic,campaign_M5_hero_undead_2alt,necro_hero_16_specialization,54724.0,1.049,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,18,"lich_upg×12, graverobber_upg_alt×22, pet_upg×32, avatar_of_war_upg×8, lich_upg_alt×12, avatar_of_war_upg_alt×8, pet_upg_alt×32"
1.002,nature,magic,nature_hero_17,nature_hero_17_specialization,2472.0,-0.246,16,2.339,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, twinkle×6, ent×4"
0.971,unfrozen,might,unfrozen_hero_4,unfrozen_hero_4_specialization,3519.0,-0.1,14,0.597,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"unfrozen_cultist×8, unfrozen_cultist×8, unfrozen_cultist×8"
0.956,human,might,campaign_M4_hero_temple_3_alt,human_hero_12_specialization,4335.0,-0.385,14,0.96,0.8298,0.38,2350,humans_might_skills_table,2500.0,8,"lightweaver×5, lightweaver×5, lightweaver×5"
0.92,human,might,human_hero_7,human_hero_7_specialization,3409.0,-0.42,14,0.96,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, sunlight_cavalry×2"
0.915,nature,magic,campaign_hero_2,campaign_hero_2_specialization,2096.0,-0.273,7,-0.89,0.875,2.078,1600,campaign_hero_2_skills_table,2500.0,4,twinkle×16
0.894,human,might,human_hero_3,human_hero_3_specialization,2713.5,-0.447,14,0.96,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×14, esquire×14, esquire×14"
0.889,human,might,human_hero_4,human_hero_4_specialization,2593.5,-0.452,14,0.96,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"crossbowman×10, crossbowman×10, crossbowman×10"
0.883,human,might,tutorial_hero_c1_10,human_hero_15_specialization,41109.0,1.029,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,5,"sunlight_cavalry_upg×21, crossbowman_upg×101"
0.883,human,magic,cm_fun_hero_human_1,human_hero_5_specialization,80436.0,2.542,8,-0.527,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"angel_upg×2, crossbowman_upg_alt×86, lightweaver_upg_alt×24, griffin_upg×35, inquisitor_upg×8, griffin_upg_alt×35, esquire_upg_alt×106"
0.882,human,might,tutorial_hero_1,human_hero_3_specialization,2412.0,-0.459,14,0.96,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×12, esquire×12, esquire×12"
0.778,human,might,tutorial_hero_c1_13,human_hero_5_specialization,38376.0,0.924,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,15,angel_upg_alt×6
0.778,human,might,tutorial_hero_c1_8,human_hero_5_specialization,38376.0,0.924,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,15,angel_upg_alt×6
0.765,unfrozen,might,unfrozen_hero_5,unfrozen_hero_5_specialization,3201.0,-0.307,14,0.597,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"frostworm_rider×6, frostworm_rider×6, frostworm_rider×6"
0.684,dungeon,might,dungeon_hero_5,dungeon_hero_5_specialization,2646.0,-0.662,14,0.551,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"assassin×9, assassin×9, assassin×9"
0.4,undead,magic,campaign_M9_hero_necromancer_ambush,necro_hero_16_specialization,31066.0,0.336,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,20,"lich×10, vampire×3, vampire_upg_alt×4, vampire×3, lich×10"
0.399,dungeon,might,dungeon_hero_4,dungeon_hero_4_specialization,2520.0,-0.947,14,0.551,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×21, trogl×21, trogl×21"
0.382,nature,might,nature_hero_2,nature_hero_2_specialization,2993.0,-0.209,9,-0.172,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.382,nature,might,nature_hero_9,nature_hero_9_specialization,2993.0,-0.209,9,-0.172,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.335,unfrozen,might,unfrozen_hero_6,unfrozen_hero_6_specialization,2538.5,-0.737,14,0.597,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, succubus×2"
0.297,nature,magic,nature_hero_11,nature_hero_11_specialization,2658.0,-0.233,14,1.622,0.766,-1.091,2350,nature_magic_skills_table,2500.0,1,"elf_tracker×10, druid×2"
0.23,dungeon,might,dungeon_hero_2,dungeon_hero_2_specialization,3196.0,0.583,8,-1.148,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, assassin×12, blade_dancer×7"
0.23,dungeon,might,dungeon_hero_7,dungeon_hero_7_specialization,3196.0,0.583,8,-1.148,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, assassin×12, blade_dancer×7"
0.23,dungeon,might,dungeon_hero_8,dungeon_hero_8_specialization,3196.0,0.583,8,-1.148,0.8333,0.794,2400,dungeon_might_skills_table,2500.0,1,"trogl×26, assassin×12, blade_dancer×7"
0.158,undead,might,necro_hero_5,necro_hero_5_specialization,2970.0,-0.509,14,0.162,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"pet×9, pet×9, pet×9"
0.14,undead,might,necro_hero_4,necro_hero_4_specialization,2380.0,-0.527,14,0.162,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,avatar_of_war×2
0.132,undead,might,tutorial_M_hero_1,necro_hero_3_specialization,2100.0,-0.535,14,0.162,0.8261,0.505,2300,necros_might_skills_table,2500.0,5,"skeleton_upg×20, skeleton_upg_alt×20, skeleton×20"
0.127,undead,might,necro_hero_3,necro_hero_3_specialization,1957.5,-0.54,14,0.162,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×22, skeleton×22, skeleton×22"
0.071,human,might,tutorial_hero_c1_1,tutorial_human_hero_3_specialization,670.0,-0.526,11,0.217,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,esquire×10
0.071,human,might,tutorial_hero_c1_2,tutorial_human_hero_3_specialization,670.0,-0.526,11,0.217,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,esquire×10
0.023,nature,might,nature_hero_1,nature_hero_1_specialization,2993.0,-0.209,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.023,nature,might,nature_hero_4,nature_hero_4_specialization,2993.0,-0.209,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.023,nature,might,nature_hero_5,nature_hero_5_specialization,2993.0,-0.209,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.023,nature,might,nature_hero_6,nature_hero_6_specialization,2993.0,-0.209,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.023,nature,might,nature_hero_7,nature_hero_7_specialization,2993.0,-0.209,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
0.023,nature,might,nature_hero_8,nature_hero_8_specialization,2993.0,-0.209,8,-0.531,0.8298,0.764,2350,nature_might_skills_table,2500.0,1,"elf_tracker×12, twinkle×7, ent×5"
-0.059,human,might,tutorial_hero_c1_9,human_hero_6_specialization,16626.0,0.088,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,5,griffin_upg_alt×51
-0.068,demon,magic,campaign_M10_hero_demon_generic_4,demon_hero_15_specialization,2413465.0,1.787,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,15,"trick_demon_upg×1000, locust_upg×750, wasp_upg×600, jaw_upg×500, godslayer_upg×450, olgoi_upg×300, hive_queen_upg×99"
-0.068,demon,magic,campaign_M10_hero_demon_generic_5,demon_hero_10_specialization,2413465.0,1.787,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,15,"trick_demon_upg×1000, locust_upg×750, wasp_upg×600, jaw_upg×500, godslayer_upg×450, olgoi_upg×300, hive_queen_upg×99"
-0.068,demon,magic,campaign_M10_hero_demon_generic_6,demon_hero_10_specialization,2413465.0,1.787,8,-0.782,0.766,-1.074,2350,demons_magic_skills_table,2500.0,15,"trick_demon_upg×1000, locust_upg×750, wasp_upg×600, jaw_upg×500, godslayer_upg×450, olgoi_upg×300, hive_queen_upg×99"
-0.146,unfrozen,magic,unfrozen_hero_14,unfrozen_hero_14_specialization,3251.5,-0.274,16,1.18,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
-0.151,demon,might,demon_hero_1,demon_hero_1_specialization,3864.5,-0.588,9,-0.494,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, locust×12, wasp×6"
-0.151,demon,might,demon_hero_3,demon_hero_3_specialization,3864.5,-0.588,9,-0.494,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, locust×12, wasp×6"
-0.151,demon,might,demon_hero_9,demon_hero_9_specialization,3864.5,-0.588,9,-0.494,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, locust×12, wasp×6"
-0.222,unfrozen,might,unfrozen_hero_3,unfrozen_hero_3_specialization,3928.0,0.165,9,-0.861,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, unfrozen_cultist×10, frostworm_rider×7"
-0.328,undead,might,campaign_M9_hero_undead_3,necro_hero_1_specialization,3540.0,-0.492,9,-0.341,0.8261,0.505,2300,necros_might_skills_table,2500.0,15,"skeleton×30, flicker×15, pet×12"
-0.334,undead,might,necro_hero_1,necro_hero_1_specialization,3351.5,-0.498,9,-0.341,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×28, flicker×14, pet×12"
-0.352,human,magic,tutorial_hero_2,human_hero_13_specialization,3204.5,-0.428,15,1.208,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×16, crossbowman×11, griffin×5"
-0.358,human,magic,human_hero_13,human_hero_13_specialization,3046.5,-0.434,15,1.208,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, crossbowman×10, griffin×5"
-0.426,undead,might,tutorial_M_hero_2,necro_hero_8_specialization,6980.0,-0.388,7,-0.542,0.8261,0.505,2300,necros_might_skills_table,2500.0,10,"skeleton_upg_alt×30, flicker×20, pet×10, flicker×20, skeleton_upg_alt×30"
-0.426,dungeon,magic,dungeon_hero_16,dungeon_hero_16_specialization,2956.0,0.04,14,0.551,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,hydra×2
-0.429,undead,might,campaign_M9_hero_undead_1,necro_hero_7_specialization,3540.0,-0.492,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,15,"skeleton×30, flicker×15, pet×12"
-0.429,demon,magic,demon_hero_17,demon_hero_17_specialization,3173.5,-0.589,15,1.234,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-0.434,undead,might,necro_hero_2,necro_hero_2_specialization,3351.5,-0.498,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×28, flicker×14, pet×12"
-0.434,undead,might,necro_hero_6,necro_hero_6_specialization,3351.5,-0.498,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×28, flicker×14, pet×12"
-0.434,undead,might,necro_hero_7,necro_hero_7_specialization,3351.5,-0.498,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×28, flicker×14, pet×12"
-0.434,undead,might,necro_hero_9,necro_hero_9_specialization,3351.5,-0.498,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×28, flicker×14, pet×12"
-0.439,demon,might,demon_hero_8,demon_hero_8_specialization,3864.5,-0.588,8,-0.782,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, locust×12, wasp×6"
-0.45,undead,might,tutorial_hero_4,necro_hero_2_specialization,2820.0,-0.514,8,-0.442,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×30, flicker×12, pet×8"
-0.513,unfrozen,might,unfrozen_hero_1,unfrozen_hero_1_specialization,3928.0,0.165,8,-1.153,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, unfrozen_cultist×10, frostworm_rider×7"
-0.513,unfrozen,might,unfrozen_hero_2,unfrozen_hero_2_specialization,3928.0,0.165,8,-1.153,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, unfrozen_cultist×10, frostworm_rider×7"
-0.513,unfrozen,might,unfrozen_hero_9,unfrozen_hero_9_specialization,3928.0,0.165,8,-1.153,0.8298,0.474,2350,unfrozen_might_skills_table,2500.0,1,"lesser_eldritch×19, unfrozen_cultist×10, frostworm_rider×7"
-0.529,undead,might,campaign_M3_hero_undead,necro_hero_8_specialization,3540.0,-0.492,7,-0.542,0.8261,0.505,2300,necros_might_skills_table,2500.0,5,"skeleton×30, flicker×15, pet×12"
-0.535,undead,might,necro_hero_8,necro_hero_8_specialization,3351.5,-0.498,7,-0.542,0.8261,0.505,2300,necros_might_skills_table,2500.0,1,"skeleton×28, flicker×14, pet×12"
-0.552,human,might,campaign_M9_hero_temple_2,human_hero_5_specialization,3787.0,-0.406,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,15,"esquire×18, crossbowman×13, griffin×6"
-0.552,human,might,campaign_M9_hero_temple_3,human_hero_5_specialization,3787.0,-0.406,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,15,"esquire×18, crossbowman×13, griffin×6"
-0.558,human,might,human_hero_1,human_hero_1_specialization,3629.0,-0.412,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, crossbowman×12, griffin×6"
-0.558,human,might,human_hero_2,human_hero_2_specialization,3629.0,-0.412,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, crossbowman×12, griffin×6"
-0.558,human,might,human_hero_5,human_hero_5_specialization,3629.0,-0.412,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, crossbowman×12, griffin×6"
-0.558,human,might,human_hero_6,human_hero_6_specialization,3629.0,-0.412,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, crossbowman×12, griffin×6"
-0.558,human,might,human_hero_8,human_hero_8_specialization,3629.0,-0.412,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×17, crossbowman×12, griffin×6"
-0.572,human,might,tutorial_hero_3,human_hero_5_specialization,3281.0,-0.425,8,-0.527,0.8298,0.38,2350,humans_might_skills_table,2500.0,1,"esquire×18, crossbowman×10, griffin×5"
-0.596,human,magic,human_hero_12,human_hero_12_specialization,3283.5,-0.425,14,0.96,0.766,-1.132,2350,humans_magic_skills_table,2500.0,1,"esquire×14, lightweaver×4, lightweaver×4"
-0.717,demon,magic,demon_hero_13,demon_hero_13_specialization,2580.0,-0.589,14,0.946,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"wasp×4, wasp×4, wasp×4"
-0.717,demon,magic,demon_hero_14,demon_hero_14_specialization,3173.5,-0.589,14,0.946,0.766,-1.074,2350,demons_magic_skills_table,2500.0,1,"trick_demon×16, locust×10, wasp×5"
-0.776,unfrozen,magic,unfrozen_hero_13,unfrozen_hero_13_specialization,3179.5,-0.321,14,0.597,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, eldritch_flyer×2, eldritch_flyer×2"
-0.783,dungeon,magic,dungeon_hero_17,dungeon_hero_17_specialization,2673.0,-0.601,15,0.835,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
-0.783,dungeon,magic,dungeon_hero_18,dungeon_hero_18_specialization,2673.0,-0.601,15,0.835,0.7708,-1.017,2400,dungeon_magic_skills_table,2500.0,1,"trogl×22, assassin×10, blade_dancer×6"
-1.014,demon,might,demon_hero_6,demon_hero_6_specialization,3864.5,-0.588,6,-1.357,0.8298,0.931,2350,demons_might_skills_table,2500.0,1,"trick_demon×20, locust×12, wasp×6"
-1.021,unfrozen,magic,unfrozen_hero_18,unfrozen_hero_18_specialization,3251.5,-0.274,13,0.305,0.766,-1.052,2350,unfrozen_magic_skills_table,2500.0,1,"lesser_eldritch×16, unfrozen_cultist×8, frostworm_rider×6"
