tier,fraction,id,variant,squad_value,cost_gold,value_per_gold,vpg_z,hp,offence,defence,dmg_avg,initiative,speed,exp_bonus
2,unfrozen,unfrozen_cultist_upg_alt,alt,184.0,210.0,0.8762,0.357,15.0,8.0,4.0,5.0,4.0,5.0,22.0
2,nature,twinkle,base,131.0,150.0,0.8733,0.345,18.0,5.0,3.0,4.5,6.0,5.0,17.0
2,human,crossbowman,base,91.0,105.0,0.8667,0.318,10.0,5.0,3.0,3.5,5.0,3.0,12.0
2,demon,locust,base,108.0,125.0,0.864,0.306,12.0,5.0,4.0,3.5,6.0,5.0,14.0
2,unfrozen,unfrozen_cultist,base,138.0,160.0,0.8625,0.3,15.0,5.0,4.0,4.0,4.0,4.0,18.0
2,demon,locust_upg,upg,146.0,170.0,0.8588,0.285,16.0,5.0,4.0,4.0,7.0,6.0,19.0
2,demon,locust_upg_alt,alt,146.0,170.0,0.8588,0.285,12.0,7.0,4.0,4.0,7.0,7.0,19.0
2,undead,flicker,base,90.0,105.0,0.8571,0.277,8.0,3.0,0.0,3.0,7.0,6.0,11.0
2,undead,flicker_upg,upg,120.0,140.0,0.8571,0.277,8.0,6.0,0.0,3.0,9.0,7.0,15.0
2,undead,flicker_upg_alt,alt,120.0,140.0,0.8571,0.277,8.0,6.0,4.0,3.0,8.0,7.0,15.0
2,dungeon,assassin,base,98.0,115.0,0.8522,0.257,13.0,6.0,2.0,4.0,6.0,5.0,13.0
2,neutral,halfling,base,125.0,150.0,0.8333,0.178,6.0,6.0,6.0,3.0,6.0,6.0,20.0
2,neutral,peasant,base,125.0,150.0,0.8333,0.178,5.0,1.0,1.0,1.0,1.0,1.0,20.0
2,neutral,peasant_normal,base,10.0,150.0,0.0667,-3.025,5.0,1.0,1.0,1.0,1.0,1.0,2.0
2,neutral,undead_peasant,base,1.0,200.0,0.005,-3.283,20.0,9.0,6.0,5.5,5.0,5.0,0.0
3,undead,pet_upg,upg,156.0,160.0,0.975,2.358,14.0,8.0,6.0,4.0,8.0,6.0,19.0
3,undead,pet_upg_alt,alt,156.0,160.0,0.975,2.358,18.0,4.0,8.0,4.0,5.0,5.0,19.0
3,unfrozen,frostworm_rider_upg,upg,276.0,290.0,0.9517,1.028,20.0,8.0,8.0,6.0,9.0,7.0,34.0
3,unfrozen,frostworm_rider_upg_alt,alt,276.0,290.0,0.9517,1.028,25.0,7.0,7.0,6.0,7.0,6.0,34.0
3,demon,wasp_upg,upg,300.0,320.0,0.9375,0.217,25.0,7.0,10.0,5.5,4.0,11.0,36.0
3,demon,wasp_upg_alt,alt,300.0,320.0,0.9375,0.217,20.0,7.0,10.0,5.5,12.0,9.0,36.0
3,nature,ent_upg,upg,309.0,330.0,0.9364,0.155,45.0,4.0,10.0,6.0,2.0,4.0,38.0
3,nature,ent_upg_alt,alt,309.0,330.0,0.9364,0.155,45.0,4.0,10.0,6.0,2.0,5.0,38.0
3,dungeon,blade_dancer_upg,upg,205.0,220.0,0.9318,-0.108,18.0,8.0,8.0,6.0,5.0,4.0,25.0
3,dungeon,blade_dancer_upg_alt,alt,205.0,220.0,0.9318,-0.108,18.0,8.0,8.0,6.0,7.0,3.0,25.0
3,human,griffin_upg,upg,326.0,350.0,0.9314,-0.131,25.0,8.0,6.0,7.0,12.0,7.0,40.0
3,human,griffin_upg_alt,alt,326.0,350.0,0.9314,-0.131,25.0,9.0,10.0,7.0,10.0,6.0,40.0
3,nature,ent,base,222.0,240.0,0.925,-0.496,45.0,4.0,10.0,6.0,2.0,3.0,27.0
3,unfrozen,frostworm_rider,base,194.0,210.0,0.9238,-0.564,20.0,7.0,7.0,6.0,6.0,4.0,24.0
3,dungeon,blade_dancer,base,147.0,160.0,0.9187,-0.856,18.0,8.0,8.0,6.0,4.0,2.0,18.0
3,neutral,animated_armor,base,275.0,300.0,0.9167,-0.97,25.0,4.0,8.0,8.0,1.0,4.0,40.0
3,neutral,gorilla,base,275.0,300.0,0.9167,-0.97,40.0,8.0,6.0,6.0,8.0,5.0,40.0
3,undead,pet,base,110.0,120.0,0.9167,-0.97,14.0,4.0,6.0,4.0,5.0,5.0,13.0
3,demon,wasp,base,215.0,235.0,0.9149,-1.072,20.0,7.0,10.0,5.5,10.0,7.0,26.0
3,human,griffin,base,233.0,255.0,0.9137,-1.141,25.0,7.0,6.0,7.0,9.0,5.0,28.0
4,human,lightweaver_upg,upg,425.0,400.0,1.0625,1.161,35.0,13.0,15.0,11.0,4.0,4.0,49.0
4,human,lightweaver_upg_alt,alt,425.0,400.0,1.0625,1.161,35.0,15.0,13.0,14.0,4.0,3.0,49.0
4,dungeon,minos_upg,upg,559.0,530.0,1.0547,0.995,40.0,12.0,15.0,13.0,7.0,6.0,65.0
4,dungeon,minos_upg_alt,alt,559.0,530.0,1.0547,0.995,40.0,15.0,12.0,15.0,5.0,6.0,65.0
4,unfrozen,eldritch_flyer_upg,upg,657.0,630.0,1.0429,0.744,50.0,11.0,11.0,11.5,8.0,8.0,76.0
4,unfrozen,eldritch_flyer_upg_alt,alt,657.0,630.0,1.0429,0.744,50.0,11.0,11.0,11.5,13.0,6.0,76.0
4,nature,aqualotl_upg,upg,518.0,500.0,1.036,0.598,35.0,11.0,9.0,15.0,7.0,6.0,60.0
4,nature,aqualotl_upg_alt,alt,518.0,500.0,1.036,0.598,35.0,13.0,9.0,15.0,6.0,5.0,60.0
4,demon,jaw_upg,upg,435.0,420.0,1.0357,0.591,60.0,11.0,14.0,11.0,4.0,5.0,50.0
4,demon,jaw_upg_alt,alt,435.0,420.0,1.0357,0.591,45.0,14.0,11.0,12.5,4.0,4.0,50.0
4,undead,graverobber_upg,upg,370.0,360.0,1.0278,0.423,30.0,11.0,9.0,8.0,5.0,4.0,43.0
4,undead,graverobber_upg_alt,alt,370.0,360.0,1.0278,0.423,30.0,12.0,13.0,7.0,5.0,5.0,43.0
4,nature,aqualotl,base,363.0,360.0,1.0083,0.009,35.0,11.0,9.0,11.0,5.0,5.0,42.0
4,unfrozen,eldritch_flyer,base,453.0,450.0,1.0067,-0.025,50.0,11.0,11.0,11.5,8.0,5.0,52.0
4,dungeon,minos,base,381.0,380.0,1.0026,-0.113,40.0,11.0,11.0,13.0,5.0,5.0,44.0
4,demon,lava_larva,base,100.0,100.0,1.0,-0.168,8.0,4.0,4.0,4.0,4.0,4.0,0.0
4,demon,jaw,base,299.0,300.0,0.9967,-0.238,45.0,11.0,11.0,11.0,3.0,4.0,35.0
4,human,lightweaver,base,289.0,290.0,0.9966,-0.24,35.0,10.0,10.0,11.0,4.0,2.0,33.0
4,undead,graverobber,base,256.0,260.0,0.9846,-0.495,30.0,11.0,9.0,7.0,4.0,3.0,30.0
4,neutral,kitten_horn,base,550.0,600.0,0.9167,-1.939,40.0,10.0,10.0,12.5,6.0,6.0,80.0
4,neutral,primal_remnant,base,550.0,600.0,0.9167,-1.939,50.0,9.0,18.0,13.5,6.0,5.0,80.0
4,neutral,star_child,base,550.0,600.0,0.9167,-1.939,35.0,13.0,9.0,15.0,5.0,3.0,80.0
4,neutral,unicorn,base,550.0,600.0,0.9167,-1.939,40.0,16.0,13.0,10.0,10.0,6.0,80.0
5,demon,godslayer_upg,upg,1242.0,1100.0,1.1291,0.887,45.0,18.0,18.0,25.0,12.0,7.0,137.0
5,demon,godslayer_upg_alt,alt,1242.0,1100.0,1.1291,0.887,45.0,18.0,12.0,25.0,12.0,6.0,137.0
5,undead,lich_upg,upg,505.0,450.0,1.1222,0.751,45.0,16.0,12.0,16.0,5.0,3.0,56.0
5,undead,lich_upg_alt,alt,505.0,450.0,1.1222,0.751,45.0,12.0,16.0,14.0,4.0,3.0,56.0
5,human,sunlight_cavalry_upg,upg,1366.0,1220.0,1.1197,0.701,85.0,12.0,17.0,14.0,13.0,7.0,151.0
5,human,sunlight_cavalry_upg_alt,alt,1366.0,1220.0,1.1197,0.701,85.0,14.0,22.0,14.0,10.0,8.0,151.0
5,nature,druid_upg,upg,1106.0,990.0,1.1172,0.652,65.0,16.0,18.0,16.5,8.0,6.0,122.0
5,nature,druid_upg_alt,alt,1106.0,990.0,1.1172,0.652,65.0,12.0,14.0,18.0,8.0,5.0,122.0
5,dungeon,medusa_upg,upg,791.0,710.0,1.1141,0.591,55.0,18.0,17.0,15.0,5.0,4.0,87.0
5,dungeon,medusa_upg_alt,alt,791.0,710.0,1.1141,0.591,55.0,15.0,14.0,13.0,6.0,3.0,87.0
5,unfrozen,succubus_upg,upg,849.0,780.0,1.0885,0.086,60.0,16.0,13.0,17.0,7.0,4.0,94.0
5,unfrozen,succubus_upg_alt,alt,849.0,780.0,1.0885,0.086,60.0,16.0,13.0,20.0,5.0,6.0,94.0
5,demon,godslayer,base,825.0,770.0,1.0714,-0.252,45.0,18.0,12.0,25.0,11.0,6.0,91.0
5,dungeon,medusa,base,535.0,500.0,1.07,-0.28,55.0,15.0,14.0,13.0,4.0,2.0,59.0
5,unfrozen,succubus,base,567.0,530.0,1.0698,-0.283,60.0,16.0,13.0,17.0,5.0,2.0,63.0
5,human,sunlight_cavalry,base,908.0,850.0,1.0682,-0.315,85.0,12.0,17.0,12.0,10.0,7.0,100.0
5,nature,druid,base,744.0,700.0,1.0629,-0.42,65.0,12.0,14.0,16.5,6.0,4.0,82.0
5,undead,lich,base,339.0,320.0,1.0594,-0.489,45.0,12.0,12.0,14.0,4.0,2.0,37.0
5,neutral,fairy_dragon,base,950.0,1000.0,0.95,-2.648,75.0,15.0,15.0,15.0,10.0,5.0,140.0
5,neutral,giant_frog,base,950.0,1000.0,0.95,-2.648,95.0,19.0,22.0,18.0,8.0,4.0,140.0
6,human,inquisitor_upg,upg,1853.0,1500.0,1.2353,1.458,125.0,20.0,28.0,21.0,9.0,5.0,195.0
6,human,inquisitor_upg_alt,alt,1853.0,1500.0,1.2353,1.458,95.0,26.0,24.0,27.0,8.0,6.0,195.0
6,nature,qilin_upg,upg,2527.0,2100.0,1.2033,0.795,135.0,22.0,22.0,31.5,11.0,8.0,265.0
6,nature,qilin_upg_alt,alt,2527.0,2100.0,1.2033,0.795,135.0,26.0,26.0,30.0,13.0,7.0,265.0
6,undead,avatar_of_war,base,952.0,800.0,1.19,0.519,100.0,19.0,18.0,13.0,9.0,7.0,100.0
6,unfrozen,arbitrator_upg,upg,2259.0,1900.0,1.1889,0.497,75.0,22.0,24.0,20.0,12.0,5.0,237.0
6,unfrozen,arbitrator_upg_alt,alt,2259.0,1900.0,1.1889,0.497,75.0,28.0,22.0,22.0,8.0,5.0,237.0
6,demon,olgoi_upg,upg,2250.0,1900.0,1.1842,0.399,120.0,20.0,20.0,25.0,8.0,10.0,236.0
6,demon,olgoi_upg_alt,alt,2250.0,1900.0,1.1842,0.399,120.0,20.0,20.0,22.0,9.0,8.0,236.0
6,undead,avatar_of_war_upg,upg,1530.0,1300.0,1.1769,0.248,100.0,19.0,20.0,19.0,11.0,8.0,161.0
6,undead,avatar_of_war_upg_alt,alt,1530.0,1300.0,1.1769,0.248,100.0,25.0,18.0,23.0,10.0,7.0,161.0
6,unfrozen,arbitrator,base,1411.0,1200.0,1.1758,0.225,75.0,20.0,20.0,20.0,5.0,4.0,148.0
6,demon,olgoi,base,1404.0,1200.0,1.17,0.105,120.0,20.0,20.0,22.0,8.0,8.0,147.0
6,dungeon,hydra_upg,upg,2335.0,2000.0,1.1675,0.053,150.0,24.0,32.0,26.5,8.0,5.0,245.0
6,dungeon,hydra_upg_alt,alt,2335.0,2000.0,1.1675,0.053,130.0,30.0,26.0,31.5,10.0,6.0,245.0
6,human,inquisitor,base,1152.0,1000.0,1.152,-0.268,95.0,20.0,24.0,21.0,7.0,4.0,121.0
6,nature,qilin,base,1595.0,1400.0,1.1393,-0.531,135.0,22.0,22.0,27.0,9.0,6.0,167.0
6,dungeon,hydra,base,1478.0,1300.0,1.1369,-0.581,130.0,24.0,22.0,26.5,8.0,4.0,155.0
6,neutral,coatl,base,1700.0,1600.0,1.0625,-2.123,95.0,26.0,19.0,24.5,12.0,8.0,250.0
6,neutral,dragon_hunter,base,1700.0,1600.0,1.0625,-2.123,85.0,24.0,28.0,31.5,9.0,6.0,250.0
6,neutral,mech_guard,base,1700.0,1600.0,1.0625,-2.123,75.0,25.0,25.0,25.0,8.0,3.0,250.0
7,neutral,dragon_upg_alt,alt,8985.0,5000.0,1.797,2.725,325.0,32.0,34.0,65.0,13.0,9.0,898.0
7,neutral,dragon_upg,upg,8628.0,5000.0,1.7256,1.764,325.0,33.0,32.0,65.0,12.0,9.0,862.0
7,neutral,dragon,base,4894.0,3000.0,1.6313,0.494,250.0,29.0,32.0,55.0,10.0,7.0,489.0
7,undead,vampire_upg,upg,3259.0,2000.0,1.6295,0.47,175.0,22.0,27.0,30.0,13.0,8.0,326.0
7,undead,vampire_upg_alt,alt,3259.0,2000.0,1.6295,0.47,150.0,25.0,20.0,30.0,12.0,5.0,326.0
7,nature,phoenix_upg,upg,7594.0,4700.0,1.6157,0.284,300.0,32.0,24.0,55.0,16.0,9.0,759.0
7,nature,phoenix_upg_alt,alt,7594.0,4700.0,1.6157,0.284,250.0,26.0,36.0,55.0,15.0,9.0,759.0
7,demon,hive_queen_upg,upg,5935.0,3700.0,1.6041,0.127,275.0,25.0,25.0,60.0,13.0,6.0,594.0
7,demon,hive_queen_upg_alt,alt,5935.0,3700.0,1.6041,0.127,250.0,25.0,25.0,70.0,8.0,9.0,594.0
7,dungeon,black_dragon_upg,upg,8009.0,5000.0,1.6018,0.097,350.0,29.0,31.0,62.5,14.0,9.0,801.0
7,dungeon,black_dragon_upg_alt,alt,8009.0,5000.0,1.6018,0.097,300.0,33.0,25.0,62.5,12.0,11.0,801.0
7,unfrozen,unspeakable_upg,upg,6719.0,4200.0,1.5998,0.07,250.0,40.0,40.0,50.0,10.0,6.0,672.0
7,unfrozen,unspeakable_upg_alt,alt,6719.0,4200.0,1.5998,0.07,250.0,35.0,35.0,60.0,11.0,7.0,672.0
7,human,angel_upg,upg,6396.0,4000.0,1.599,0.059,225.0,35.0,30.0,62.5,12.0,5.0,640.0
7,human,angel_upg_alt,alt,6396.0,4000.0,1.599,0.059,300.0,30.0,30.0,62.5,10.0,10.0,640.0
7,undead,vampire,base,1875.0,1200.0,1.5625,-0.433,150.0,22.0,20.0,25.0,11.0,6.0,188.0
7,nature,phoenix,base,4330.0,2800.0,1.5464,-0.649,200.0,26.0,24.0,55.0,14.0,7.0,433.0
7,dungeon,black_dragon,base,4620.0,3000.0,1.54,-0.736,275.0,29.0,25.0,47.5,11.0,8.0,462.0
7,unfrozen,unspeakable,base,3822.0,2500.0,1.5288,-0.886,250.0,30.0,30.0,50.0,9.0,5.0,382.0
7,demon,hive_queen,base,3356.0,2200.0,1.5255,-0.931,200.0,25.0,25.0,60.0,7.0,6.0,336.0
7,human,angel,base,3660.0,2400.0,1.525,-0.938,225.0,30.0,30.0,62.5,8.0,4.0,366.0
7,neutral,sentinel,base,7000.0,5000.0,1.4,-2.621,400.0,40.0,40.0,50.0,7.0,7.0,1000.0
8,neutral,lich_dragon,base,30000.0,30000.0,1.0,1.732,999.0,66.0,66.0,99.0,9.0,9.0,3000.0
8,neutral,avatar,base,275.0,300.0,0.9167,-0.577,60.0,0.0,0.0,6.0,6.0,6.0,275.0
8,neutral,avatar_nature,base,275.0,300.0,0.9167,-0.577,60.0,0.0,0.0,6.0,6.0,6.0,275.0
8,neutral,avatar_unfrozen,base,275.0,300.0,0.9167,-0.577,60.0,0.0,0.0,6.0,6.0,6.0,275.0
